LabelCode,Artist,Title,Label,Format,Released
2T-541,"John Williams (4), London Symphony Orchestra, The",Star Wars,20th Century Records,"2xLP, Album, Gat",1977
639217000178,Flogging Molly,Salty Dog,26f Records,"7"", Single, Gre",1999
"6131019, none",Touché Amoré,...To The Beat Of A Dead Horse,"6131 Records, Collect Records","LP, Album, RP, Whi",2011
85 686 IT,Bill Withers,Just As I Am,A&M Records,"LP, Album",1971
SP 4643,Nazareth (2),Hot Tracks,A&M Records,"LP, Comp",1977
SP-3720,"Police, The",Zenyatta Mondatta,A&M Records,"LP, Album, Y",1980
AF0006,"Unseen, The",So This Is Freedom?,A-F Records,"LP, Album, A-F",1999
AF0035,Anti-Flag,Mobilize,A-F Records,"LP, Bla",2004
AF0045,"Unseen, The",Lower Class Crucifixion,A-F Records,"LP, Album, RE",1998
AF0052,Anti-Flag,The Bright Lights Of America,A-F Records,"LP, Album + LP, S/Sided, Album, Etch",2008
AF061,White Wives,Self-Titled,A-F Records,"7"", Yel",2013
AF061,White Wives,Self-Titled,A-F Records,"7"", Blu",2013
ABC-480,Ray Charles,Sweet And Sour Tears,ABC-Paramount,"LP, Mono",1964
AR047,Emily's Army,Don't Be A Dick,Adeline Records,"LP, Album, Yel",2011
AR049,White Wives,Happeners,Adeline Records,"LP, Album, Ltd, Blu",2011
AR050,White Wives,Indian Summer,Adeline Records,"7"", Tra",2011
ALIVE 0044-1,"Black Keys, The",The Big Come Up,Alive Records,"LP, Album, Ltd, 180",2002
ALIVE 0047-1,"Black Keys, The",The Moan / Have Love Will Travel,Alive Records,"7"", Ltd, Tur",2011
Virus 320,Leftöver Crack,Fuck World Trade,Alternative Tentacles,"LP, Album",2004
VIRUS 373,Leftöver Crack / Citizen Fish,Deadline,Alternative Tentacles,"LP, Album",2007
G 401,Various,Giants Of Jazz,American Recording Society,"LP, Comp",1956
36-767504,Gogol Bordello,We Comin' Rougher (Immigraniada),American Recordings,"7"", Single, Gre",2010
440 063 336-1,Johnny Cash,American IV: The Man Comes Around,American Recordings,"2xLP, Album",2002
"38 0781060, 88697 81060 7-S1",Slayer,World Painted Blood / Atrocity Vendor,"American Recordings, American Recordings","7"", Single, Ltd, Red",2010
"B0015524-01, ",Johnny Cash,American VI: Ain't No Grave,"American Recordings, Lost Highway","LP, Album, Cle",2011
AR-005,Various,Beautiful Music For Beautiful People,Amity Records,"10"", Comp, Cle",1989
86777-1,Neko Case,Fox Confessor Brings The Flood,Anti-,"LP, Album, Dlx, Ltd, RE, Red",2015
ANTI 86891-1,"Coup, The",Sorry To Bother You,Anti-,"2xLP + CD, Album",2012
"ANTI-87260-1, 87260-1",Calexico,Spiritoso ,"Anti-, Anti-","LP, Album + CD, Album + RE, Ltd, Num",2013
abr 0084,Dosh,Wolves And Wishes,Anticon,"LP, Album, Ltd",2008
SW-3421,John Lennon,Shaved Fish,Apple Records,"LP, Comp",1975
